City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
144,plainview,40,US,37,34.18,-101.71,84.99,18.34
145,comodoro rivadavia,0,AR,37,-45.87,-67.48,55.4,16.11
146,nardaran,40,AZ,52,40.56,50.01,66.2,19.46
147,nagua,75,DO,70,19.37,-69.85,89.6,6.93
148,ibra,100,OM,41,22.69,58.55,87.18,17.4
149,ganzhou,1,CN,66,25.86,114.93,64.32,3.42
150,talnakh,75,RU,92,69.49,88.39,15.8,29.08
151,coahuayana,1,MX,22,18.62,-100.35,100.5,4.38
152,sinnamary,100,GF,81,5.38,-52.96,82.5,10.96
153,porto novo,20,BR,53,-23.68,-45.44,77,4.7
154,havoysund,20,NO,80,71,24.66,39.2,24.16
155,bjornevatn,75,NO,93,69.67,29.98,37.4,20.8
156,narsaq,20,GL,28,60.91,-46.05,57.2,9.17
157,charlestown,1,US,64,41.38,-71.64,87.01,12.75
158,trat,93,TH,70,12.25,102.51,91,1.88
159,manado,40,ID,100,1.49,124.85,73.4,4.97
160,trapani,20,IT,72,38.02,12.54,66.2,17.22
161,sao joao da barra,40,BR,55,-21.64,-41.05,86,3.36
162,saint-philippe,75,CA,53,45.36,-73.48,75,29.97
163,haines junction,11,CA,48,60.75,-137.51,51.18,7.23
164,kathmandu,75,NP,73,27.71,85.32,71.6,6.67
165,norman wells,75,CA,45,65.28,-126.83,66.2,6.93
166,brainerd,1,US,40,46.36,-94.2,63,5.82
167,yumen,2,CN,10,40.29,97.04,59.1,1.5
168,straumen,0,NO,52,63.87,11.3,68,9.17
169,camacha,40,PT,72,33.08,-16.33,68,14.99
170,teya,75,MX,39,21.05,-89.07,99,16.11
171,vitim,81,RU,83,59.44,112.57,37.32,2.98
172,antsohihy,100,MG,74,-14.88,47.99,80.7,5.35
173,kavieng,100,PG,75,-2.57,150.8,82.86,3.76
174,la esperanza,75,HN,62,14.31,-88.18,87.8,4.7
175,clyde river,75,CA,86,70.47,-68.59,28.4,12.75
176,nador,0,MA,40,35.17,-2.93,75.2,6.93
177,keflavik,75,IS,100,64,-22.56,51.01,9.17
178,faya,20,SA,76,18.39,42.45,59,5.82
179,chokurdakh,0,RU,89,70.62,147.9,7.08,5.99
180,le marin,75,MQ,62,14.47,-60.87,87.8,19.46
181,tasiilaq,75,GL,74,65.61,-37.64,35.6,12.75
182,udachnyy,90,RU,48,66.42,112.4,39.2,11.18
183,monrovia,40,LR,79,6.33,-10.8,84.2,9.17
184,burnie,76,AU,87,-41.05,145.91,53.01,5.99
185,kaitangata,16,NZ,67,-46.28,169.85,52,10
186,yamada,75,JP,93,36.58,137.08,63,2.24
187,mackay,20,CA,28,53.65,-115.58,59,20.8
188,lagoa,20,PT,46,37.14,-8.45,73.4,18.34
189,bluff,1,AU,89,-23.58,149.07,61.08,11.83
190,saint-georges,94,CA,76,46.12,-70.67,71.01,8.99
191,naryan-mar,0,RU,90,67.67,53.09,27.24,8.19
192,port hedland,0,AU,51,-20.31,118.58,62.6,6.93
193,hithadhoo,100,MV,75,-0.6,73.08,84.12,11.3
194,beringovskiy,58,RU,90,63.05,179.32,27.42,6.2
195,codrington,90,AU,93,-28.95,153.24,60.8,5.82
196,ilulissat,90,GL,86,69.22,-51.1,33.8,4.7
197,coquimbo,75,CL,59,-29.95,-71.34,64.4,5.82
198,grand baie,75,MU,74,-20.02,57.58,78.8,11.41
199,kaabong,100,UG,92,3.51,34.14,64.86,2.91
200,lazaro cardenas,75,MX,14,28.39,-105.62,88,21.92
201,luanda,20,AO,78,-8.83,13.24,78.8,6.93
202,rio gallegos,0,AR,40,-51.62,-69.22,53.6,34.45
203,namatanai,100,PG,88,-3.66,152.44,77.46,5.95
204,severo-kurilsk,99,RU,97,50.68,156.12,39.66,15.1
205,hutang,4,CN,71,29.22,119.85,59.1,3.31
206,namioka,75,JP,52,40.71,140.59,68,11.41
207,mnogovershinnyy,100,RU,96,53.94,139.92,39.12,8.05
208,san rafael del sur,40,NI,49,11.85,-86.44,91.4,13.87
209,paamiut,7,GL,91,61.99,-49.67,35.7,16.31
210,ribeira grande,40,PT,88,38.52,-28.7,66.2,10.29
211,labuhan,18,ID,86,-2.54,115.51,75.48,2.8
212,mount gambier,90,AU,100,-37.83,140.78,53.6,8.05
213,pesca,96,CO,68,5.56,-73.05,62.52,7.76
214,mount isa,0,AU,56,-20.73,139.49,68,6.93
215,le port,25,FR,64,42.87,1.37,60.01,4.47
216,hobart,40,AU,66,-42.88,147.33,57.99,5.82
217,dublin,75,IE,81,53.35,-6.26,57.99,5.82
218,salalah,20,OM,74,17.01,54.1,86,10.29
219,beisfjord,0,NO,51,68.38,17.6,60.8,11.41
220,ust-tsilma,0,RU,58,65.44,52.15,35.88,6.11
221,marawi,12,PH,93,8,124.29,77,5.01
222,samana,75,EC,94,0.12,-76.97,77,4.7
223,koronowo,20,PL,60,53.31,17.94,71.01,3.36
224,ekimchan,100,RU,87,53.07,132.94,43.26,10.4
225,carnarvon,58,ZA,65,-30.97,22.13,50.1,14.94
226,saint-denis,0,FR,67,48.94,2.36,64.4,10.29
227,tabas,100,IR,18,33.6,56.92,89.6,9.17
228,san pedro,100,AR,69,-33.68,-59.66,63,7
229,aketi,100,CD,96,2.74,23.78,72.6,1.03
230,moses lake,1,US,22,47.13,-119.28,69.8,13.87
231,mocuba,1,MZ,90,-16.84,36.99,65.76,2.42
232,hamilton,90,CA,67,43.26,-79.87,59,14.99
233,san juan del sur,40,NI,74,11.25,-85.87,84.2,10.2
234,katobu,17,ID,93,-4.94,122.53,75.66,1.54
235,banjar,86,ID,98,-7.37,108.54,73.86,1.14
236,provideniya,5,RU,72,64.42,-173.23,33.72,5.23
237,andradas,20,BR,56,-22.07,-46.57,79,6.93
238,bose,75,IT,72,45.46,8.01,64.4,2.24
239,manzhouli,35,CN,45,49.6,117.43,45.24,13.67
240,lockhart,75,AU,76,-35.22,146.72,55.4,3.36
241,anadyr,75,RU,74,64.73,177.51,30.2,6.71
242,bandarbeyla,67,SO,74,9.49,50.81,82.68,13.38
243,buchach,75,UA,100,49.06,25.39,70,2.24
244,pasni,0,PK,52,25.26,63.48,86.82,9.17
245,tuktoyaktuk,40,CA,75,69.44,-133.03,41,19.46
246,okha,100,RU,96,53.59,142.95,40.38,13.62
247,puerto escondido,5,MX,66,15.86,-97.07,86,9.17
248,ancud,0,CL,70,-41.87,-73.83,48.2,9.17
249,lebu,75,ET,68,8.96,38.73,64.4,2.95
250,port lincoln,100,AU,76,-34.72,135.86,63.6,15.48
251,leningradskiy,0,RU,80,69.38,178.42,22.2,6.38
252,kajaani,0,FI,62,64.22,27.73,59,6.93
253,murray bridge,100,AU,89,-35.12,139.28,55.99,1.01
254,rocha,97,UY,96,-34.48,-54.34,61.08,11.3
255,tagusao,92,PH,71,9.19,117.81,84.12,2.57
256,cobija,75,BR,55,-11.02,-68.77,89.6,3.36
257,port-gentil,20,GA,88,-0.72,8.78,80.6,11.41
258,te anau,61,NZ,93,-45.41,167.72,39.3,4.12
259,hami,0,CN,11,42.84,93.51,69.72,6.2
260,pahrump,75,US,41,36.21,-115.98,68,11.5
261,fort frances,1,CA,38,48.61,-93.4,63,9.17
262,umtata,0,ZA,51,-31.59,28.78,60.8,17.22
263,markova,0,RU,49,52.21,104.21,46.4,6.71
264,saint-leu,68,RE,88,-21.15,55.28,78.01,3.36
265,jalu,73,LY,5,29.03,21.55,100.14,11.07
266,alice springs,1,AU,93,-23.7,133.88,57.2,3.36
267,zaraza,97,VE,22,9.35,-65.33,101.04,8.61
268,dingle,4,PH,80,11,122.67,79.08,2.73
269,bodden town,75,KY,88,19.28,-81.25,84.99,4.7
270,griffith,13,AU,82,-34.29,146.06,55.4,5.82
271,coihaique,0,CL,59,-45.58,-72.07,46.4,4.7
272,sao felix do xingu,100,BR,92,-6.64,-51.99,80.34,3.74
273,santa rosa,100,AR,78,-36.62,-64.29,49.38,13.94
274,goderich,96,CA,87,43.74,-81.71,52,13
275,vila velha,75,BR,83,-3.71,-38.6,80.6,9.17
276,rabo de peixe,40,PT,88,37.8,-25.58,66.2,12.75
277,soyo,20,AO,88,-6.13,12.37,80.6,9.17
278,cayenne,40,GF,70,4.94,-52.33,86,14.99
279,saldanha,86,PT,46,41.42,-6.55,63.06,9.75
280,santa ines,75,EC,72,-0.82,-78.63,64.4,2.93
281,hasaki,75,JP,93,35.73,140.83,66.2,16.11
282,slave lake,1,CA,25,55.28,-114.77,62.6,17.22
283,christchurch,1,NZ,100,-43.53,172.64,51.01,3.36
